Entry	Protein names	Gene names	Length	Entry name
P51452	Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR)	DUSP3 VHR	185	DUS3_HUMAN
Q13115	Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2)	DUSP4 MKP2 VH2	394	DUS4_HUMAN
Q16690	Dual specificity protein phosphatase 5 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH3)	DUSP5 VH3	384	DUS5_HUMAN
Q16828	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	DUSP6 MKP3 PYST1	381	DUS6_HUMAN
P33316	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT	252	DUT_HUMAN
Q9P219	Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2)	CCDC88C DAPLE KIAA1509	2028	DAPLE_HUMAN
O15146	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	MUSK	869	MUSK_HUMAN
Q969G9	Protein naked cuticle homolog 1 (Naked-1) (hNkd) (hNkd1)	NKD1 NKD PP7246	470	NKD1_HUMAN
Q155Q3	Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1)	DIXDC1 CCD1 KIAA1735	683	DIXC1_HUMAN
Q8N4T4	Rho guanine nucleotide exchange factor 39	ARHGEF39 C9orf100	335	ARG39_HUMAN
P61457	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	PCBD1 DCOH PCBD	104	PHS_HUMAN
Q53GY1	BCL2-associated athanogene 3 variant (Fragment)		575	Q53GY1_HUMAN
Q8WTU0	Protein DDI1 homolog 1 (EC 3.4.23.-)	DDI1	396	DDI1_HUMAN
Q8IY56	ZNF165 protein	ZNF165	485	Q8IY56_HUMAN
Q96BN8	Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)	OTULIN FAM105B	352	OTUL_HUMAN
P26368	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	475	U2AF2_HUMAN
Q96H20	Vacuolar-sorting protein SNF8 (ELL-associated protein of 30 kDa) (ESCRT-II complex subunit VPS22) (hVps22)	SNF8 EAP30	258	SNF8_HUMAN
Q8TAD8	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SNIP1	396	SNIP1_HUMAN
P45974	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	USP5 ISOT	858	UBP5_HUMAN
O14978	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZNF263 FPM315 ZKSCAN12	683	ZN263_HUMAN
O94772	Lymphocyte antigen 6H (Ly-6H)	LY6H	140	LY6H_HUMAN
P78337	Pituitary homeobox 1 (Hindlimb-expressed homeobox protein backfoot) (Homeobox protein PITX1) (Paired-like homeodomain transcription factor 1)	PITX1 BFT PTX1	314	PITX1_HUMAN
Q96L94	Sorting nexin-22	SNX22	193	SNX22_HUMAN
Q8WVP5	Tumor necrosis factor alpha-induced protein 8-like protein 1 (TIPE1) (TNF alpha-induced protein 8-like protein 1) (TNFAIP8-like protein 1) (Oxidative stress-regulated gene-beta) (Oxy-beta)	TNFAIP8L1	186	TP8L1_HUMAN
Q5JSJ4	Integrator complex subunit 6-like (Protein DDX26B)	INTS6L DDX26B	861	INT6L_HUMAN
P56597	Nucleoside diphosphate kinase homolog 5 (NDK-H 5) (NDP kinase homolog 5) (Inhibitor of p53-induced apoptosis-beta) (IPIA-beta) (Testis-specific nm23 homolog) (nm23-H5)	NME5	212	NDK5_HUMAN
Q9UJV3	Probable E3 ubiquitin-protein ligase MID2 (EC 2.3.2.27) (Midin-2) (Midline defect 2) (Midline-2) (RING finger protein 60) (RING-type E3 ubiquitin transferase MID2) (Tripartite motif-containing protein 1)	MID2 FXY2 RNF60 TRIM1	735	TRIM1_HUMAN
Q96IM9	DPY30 domain-containing protein 2	DYDC2	177	DYDC2_HUMAN
Q14204	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	4646	DYHC1_HUMAN
Q9UQ16	Dynamin-3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin)	DNM3 KIAA0820	869	DYN3_HUMAN
P15104	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)	GLUL GLNS	373	GLNA_HUMAN
O75146	Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)	HIP1R HIP12 KIAA0655	1068	HIP1R_HUMAN
P08237	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	PFKM PFKX	780	PFKAM_HUMAN
Q01813	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	PFKP PFKF	784	PFKAP_HUMAN
P00338	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	332	LDHA_HUMAN
P23368	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	584	MAOM_HUMAN
Q6P0Q8	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)	MAST2 KIAA0807 MAST205	1798	MAST2_HUMAN
Q99707	Methionine synthase (MS) (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	MTR	1265	METH_HUMAN
Q9Y4I1	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)	MYO5A MYH12	1855	MYO5A_HUMAN
Q16620	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)	NTRK2 TRKB	822	NTRK2_HUMAN
Q8TF72	Protein Shroom3 (Shroom-related protein) (hShrmL)	SHROOM3 KIAA1481 SHRML MSTP013	1996	SHRM3_HUMAN
P0DPH8	Tubulin alpha-3D chain (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]	TUBA3D	450	TBA3D_HUMAN
P63172	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)	DYNLT1 TCTEL1 TCTEX-1 TCTEX1	113	DYLT1_HUMAN
Q14184	Double C2-like domain-containing protein beta (Doc2-beta)	DOC2B DOC2BL	412	DOC2B_HUMAN
Q96BS2	Calcineurin B homologous protein 3 (Tescalcin) (TSC)	TESC CHP3	214	CHP3_HUMAN
P22392	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)	NME2 NM23B	152	NDKB_HUMAN
Q9BY11	Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)	PACSIN1 KIAA1379	444	PACN1_HUMAN
Q96RU3	Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)	FNBP1 FBP17 KIAA0554	617	FNBP1_HUMAN
O15079	Syntaphilin	SNPH KIAA0374	494	SNPH_HUMAN
Q92777	Synapsin-2 (Synapsin II)	SYN2	582	SYN2_HUMAN
P18545	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma (GMP-PDE gamma) (EC 3.1.4.35)	PDE6G PDEG	87	CNRG_HUMAN
Q13838	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	DDX39B BAT1 UAP56	428	DX39B_HUMAN
Q6FIF0	AN1-type zinc finger protein 6 (Associated with PRK1 protein) (Zinc finger A20 domain-containing protein 3)	ZFAND6 AWP1 ZA20D3 HT032	208	ZFAN6_HUMAN
P52732	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5	1056	KIF11_HUMAN
P08151	Zinc finger protein GLI1 (Glioma-associated oncogene) (Oncogene GLI)	GLI1 GLI	1106	GLI1_HUMAN
Q9Y463	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DYRK1B MIRK	629	DYR1B_HUMAN
P20823	Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1)	HNF1A TCF1	631	HNF1A_HUMAN
P46734	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	347	MP2K3_HUMAN
Q9H0N5	Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor)	PCBD2 DCOH2 DCOHM	130	PHS2_HUMAN
Q92630	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	DYRK2	601	DYRK2_HUMAN
O75923	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	2080	DYSF_HUMAN
P19525	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	551	E2AK2_HUMAN
P05198	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	EIF2S1 EIF2A	315	IF2A_HUMAN
Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	EIF2AK3 PEK PERK	1116	E2AK3_HUMAN
Q9P2K8	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	EIF2AK4 GCN2 KIAA1338	1649	E2AK4_HUMAN
Q14186	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)	TFDP1 DP1	410	TFDP1_HUMAN
Q14188	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2 DP2	446	TFDP2_HUMAN
Q16254	Transcription factor E2F4 (E2F-4)	E2F4	413	E2F4_HUMAN
Q15329	Transcription factor E2F5 (E2F-5)	E2F5	346	E2F5_HUMAN
O75461	Transcription factor E2F6 (E2F-6)	E2F6	281	E2F6_HUMAN
Q5JSB6	Transcription factor Dp-1 (Fragment)	TFDP1	158	Q5JSB6_HUMAN
Q96A26	Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)	FAM162A C3orf28 E2IG5 DC16 FWP001	154	F162A_HUMAN
Q14980	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA	2115	NUMA1_HUMAN
Q86VP1	Tax1-binding protein 1 (TRAF6-binding protein)	TAX1BP1 T6BP PRO0105	789	TAXB1_HUMAN
Q9UPW8	Protein unc-13 homolog A (Munc13-1)	UNC13A KIAA1032	1703	UN13A_HUMAN
P43005	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	SLC1A1 EAAC1 EAAT3	524	EAA3_HUMAN
P48664	Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6)	SLC1A6 EAAT4	564	EAA4_HUMAN
Q96JC9	ELL-associated factor 1	EAF1	268	EAF1_HUMAN
Q9NRQ2	Phospholipid scramblase 4 (PL scramblase 4) (Ca(2+)-dependent phospholipid scramblase 4) (Cell growth-inhibiting gene 43 protein) (TRA1)	PLSCR4 GIG43	329	PLS4_HUMAN
Q96CJ1	ELL-associated factor 2 (Testosterone-regulated apoptosis inducer and tumor suppressor protein)	EAF2 TRAITS BM-040	260	EAF2_HUMAN
P0C1Z6	TCF3 fusion partner (INO80 complex subunit F) (Protein FB1)	TFPT INO80F	253	TFPT_HUMAN
Q05086	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	875	UBE3A_HUMAN
P32249	G-protein coupled receptor 183 (Epstein-Barr virus-induced G-protein coupled receptor 2) (EBI2) (EBV-induced G-protein coupled receptor 2) (hEBI2)	GPR183 EBI2	361	GP183_HUMAN
Q99848	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	306	EBP2_HUMAN
P11487	Fibroblast growth factor 3 (FGF-3) (Heparin-binding growth factor 3) (HBGF-3) (Proto-oncogene Int-2)	FGF3 INT2	239	FGF3_HUMAN
A4D1E9	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	GTPBP10 OBGH2 UG0751c10	387	GTPBA_HUMAN
P01033	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TIMP1 CLGI TIMP	207	TIMP1_HUMAN
P55084	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	HADHB MSTP029	474	ECHB_HUMAN
Q86YB7	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial	ECHDC2	292	ECHD2_HUMAN
O60732	Melanoma-associated antigen C1 (Cancer/testis antigen 7.1) (CT7.1) (MAGE-C1 antigen)	MAGEC1	1142	MAGC1_HUMAN
Q16610	Extracellular matrix protein 1 (Secretory component p85)	ECM1	540	ECM1_HUMAN
Q5VYK3	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	ECPAS ECM29 KIAA0368	1845	ECM29_HUMAN
Q9H8V3	Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene)	ECT2	914	ECT2_HUMAN
Q92838	Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]	EDA ED1 EDA2	391	EDA_HUMAN
Q9UNE0	Tumor necrosis factor receptor superfamily member EDAR (Anhidrotic ectodysplasin receptor 1) (Downless homolog) (EDA-A1 receptor) (Ectodermal dysplasia receptor) (Ectodysplasin-A receptor)	EDAR DL	448	EDAR_HUMAN
O95071	E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)	UBR5 EDD EDD1 HYD KIAA0896	2799	UBR5_HUMAN
O60869	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	EDF1	148	EDF1_HUMAN
Q13133	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	NR1H3 LXRA	447	NR1H3_HUMAN
P21453	Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363)	S1PR1 CHEDG1 EDG1	382	S1PR1_HUMAN
P05305	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	EDN1	212	EDN1_HUMAN
P42892	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	770	ECE1_HUMAN
P24530	Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)	EDNRB ETRB	442	EDNRB_HUMAN
P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	750	NEP_HUMAN
P20800	Endothelin-2 (ET-2) (Preproendothelin-2) (PPET2)	EDN2	178	EDN2_HUMAN
P23276	Kell blood group glycoprotein (EC 3.4.24.-) (CD antigen CD238)	KEL	732	KELL_HUMAN
P14138	Endothelin-3 (ET-3) (Preproendothelin-3) (PPET3)	EDN3	238	EDN3_HUMAN
Q15075	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	1411	EEA1_HUMAN
P61020	Ras-related protein Rab-5B	RAB5B	215	RAB5B_HUMAN
Q15013	MAD2L1-binding protein (Caught by MAD2 protein) (p31(comet))	MAD2L1BP CMT2 KIAA0110	274	MD2BP_HUMAN
Q13310	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4	644	PABP4_HUMAN
P09466	Glycodelin (GD) (Placental protein 14) (PP14) (Pregnancy-associated endometrial alpha-2 globulin) (PAEG) (PEG) (Progestagen-associated endometrial protein) (Progesterone-associated endometrial protein) (Zona-binding inhibitory factor-1) (ZIF-1)	PAEP	180	PAEP_HUMAN
O43252	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS1 ATPSK1 PAPSS	624	PAPS1_HUMAN
Q8N5U6	RING finger protein 10	RNF10 KIAA0262 RIE2	811	RNF10_HUMAN
Q96IZ7	Serine/Arginine-related protein 53 (SRrp53) (Arginine/serine-rich coiled-coil protein 1)	RSRC1 SRRP53 BM-011	334	RSRC1_HUMAN
P43307	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)	SSR1 TRAPA PSEC0262	286	SSRA_HUMAN
P49888	Sulfotransferase 1E1 (ST1E1) (EC 2.8.2.4) (EST-1) (Estrogen sulfotransferase) (Sulfotransferase, estrogen-preferring)	SULT1E1 STE	294	ST1E1_HUMAN
Q93045	Stathmin-2 (Superior cervical ganglion-10 protein) (Protein SCG10)	STMN2 SCG10 SCGN10	179	STMN2_HUMAN
Q9NRS4	Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2)	TMPRSS4 TMPRSS3 UNQ776/PRO1570	437	TMPS4_HUMAN
O43504	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	91	LTOR5_HUMAN
P78417	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	241	GSTO1_HUMAN
O14737	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5 TFAR19	125	PDCD5_HUMAN
Q13332	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	PTPRS	1948	PTPRS_HUMAN
Q658K8	Putative elongation factor 1-delta-like protein (Putative EF-1-delta-like pseudogene 3 protein)	EEF1DP3	133	EF1DL_HUMAN
Q53FG3	Interleukin enhancer binding factor 2 variant (Fragment)		390	Q53FG3_HUMAN
Q8N4N7	ABCC9 protein (ATP-binding cassette sub-family C member 9)	ABCC9	149	Q8N4N7_HUMAN
Q53FA7	Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)	TP53I3 PIG3	332	QORX_HUMAN
P62857	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	69	RS28_HUMAN
P13639	Elongation factor 2 (EF-2)	EEF2 EF2	858	EF2_HUMAN
O00418	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	725	EF2K_HUMAN
O15264	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4	365	MK13_HUMAN
Q9BSW2	EF-hand calcium-binding domain-containing protein 4B (Calcium release-activated calcium channel regulator 2A) (CRAC channel regulator 2A) (Calcium release-activated channel regulator 2A)	CRACR2A EFCAB4B	395	EFC4B_HUMAN
Q5JVL4	EF-hand domain-containing protein 1 (Myoclonin-1)	EFHC1	640	EFHC1_HUMAN
P20827	Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form]	EFNA1 EPLG1 LERK1 TNFAIP4	205	EFNA1_HUMAN
P54756	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	1037	EPHA5_HUMAN
P52797	Ephrin-A3 (EFL-2) (EHK1 ligand) (EHK1-L) (EPH-related receptor tyrosine kinase ligand 3) (LERK-3)	EFNA3 EFL2 EPLG3 LERK3	238	EFNA3_HUMAN
P52798	Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4)	EFNA4 EPLG4 LERK4	201	EFNA4_HUMAN
P52803	Ephrin-A5 (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7)	EFNA5 EPLG7 LERK7	228	EFNA5_HUMAN
P98172	Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) [Cleaved into: Ephrin-B1 C-terminal fragment (Ephrin-B1 CTF); Ephrin-B1 intracellular domain (Ephrin-B1 ICD)]	EFNB1 EFL3 EPLG2 LERK2	346	EFNB1_HUMAN
P54762	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	984	EPHB1_HUMAN
Q13009	T-lymphoma invasion and metastasis-inducing protein 1 (TIAM-1)	TIAM1	1591	TIAM1_HUMAN
P52799	Ephrin-B2 (EPH-related receptor tyrosine kinase ligand 5) (LERK-5) (HTK ligand) (HTK-L)	EFNB2 EPLG5 HTKL LERK5	333	EFNB2_HUMAN
O00560	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	298	SDCB1_HUMAN
Q8N5H7	SH2 domain-containing protein 3C (Cas/HEF1-associated signal transducer) (Chat-H) (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)	SH2D3C NSP3 UNQ272/PRO309/PRO34088	860	SH2D3_HUMAN
O75865	Trafficking protein particle complex subunit 6A (TRAPP complex subunit 6A)	TRAPPC6A HSPC289	159	TPC6A_HUMAN
P49411	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	452	EFTU_HUMAN
P38606	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2	617	VATA_HUMAN
P01133	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	EGF	1207	EGF_HUMAN
P14384	Carboxypeptidase M (CPM) (EC 3.4.17.12)	CPM	443	CBPM_HUMAN
Q8IUX8	Epidermal growth factor-like protein 6 (EGF-like protein 6) (MAM and EGF domains-containing gene protein)	EGFL6 MAEG PP648 UNQ281/PRO320	553	EGFL6_HUMAN
